date,orders_count,revenue,avg_order
2024-08-26,1,1027.55,1027.55
2024-08-27,1,280.67,280.67
2024-08-28,1,136.74,136.74
2024-09-01,2,716.28,358.14
2024-09-02,1,570.16,570.16
2024-09-03,2,554.3499999999999,277.17499999999995
2024-09-04,1,401.98,401.98
2024-09-05,3,1863.93,621.3100000000001
2024-09-06,1,1091.36,1091.36
2024-09-08,1,500.44,500.44
2024-09-09,2,1959.7199999999998,979.8599999999999
2024-09-10,1,652.83,652.83
2024-09-11,1,357.11,357.11
2024-09-12,3,3060.76,1020.2533333333334
2024-09-13,2,489.9,244.95
2024-09-14,2,776.5699999999999,388.28499999999997
2024-09-15,2,1071.3600000000001,535.6800000000001
2024-09-16,1,467.65,467.65
2024-09-17,1,1203.52,1203.52
2024-09-18,5,2552.95,510.59
2024-09-20,1,772.6,772.6
2024-09-21,2,928.4200000000001,464.21000000000004
2024-09-22,4,1952.53,488.1325
2024-09-23,1,760.88,760.88
2024-09-24,1,401.21,401.21
2024-09-25,4,1594.78,398.695
2024-09-26,2,1772.94,886.47
2024-09-27,2,1267.3899999999999,633.6949999999999
2024-09-28,1,187.38,187.38
2024-09-29,1,487.34,487.34
2024-09-30,2,1677.38,838.69
2024-10-01,1,375.76,375.76
2024-10-02,2,1296.9299999999998,648.4649999999999
2024-10-03,1,957.56,957.56
2024-10-04,2,1595.14,797.57
2024-10-08,1,323.92,323.92
2024-10-09,3,970.87,323.62333333333333
2024-10-10,1,983.39,983.39
2024-10-11,3,2516.8799999999997,838.9599999999999
2024-10-12,1,780.07,780.07
2024-10-13,3,2692.0699999999997,897.3566666666666
2024-10-14,1,1447.08,1447.08
2024-10-16,2,2441.69,1220.845
2024-10-17,2,2434.84,1217.42
2024-10-18,1,988.46,988.46
2024-10-19,1,938.4,938.4
2024-10-20,1,1106.86,1106.86
2024-10-21,1,526.05,526.05
2024-10-22,1,688.51,688.51
2024-10-23,2,1326.3700000000001,663.1850000000001
2024-10-24,3,2349.52,783.1733333333333
2024-10-25,1,957.05,957.05
2024-10-26,2,699.47,349.735
2024-10-29,1,846.3,846.3
2024-10-31,3,2330.48,776.8266666666667
2024-11-01,5,3567.46,713.492
2024-11-02,1,1755.96,1755.96
2024-11-04,3,2527.17,842.39
2024-11-05,1,429.87,429.87
2024-11-06,1,403.83,403.83
2024-11-08,1,534.17,534.17
2024-11-09,1,1080.28,1080.28
2024-11-10,4,3430.92,857.73
2024-11-11,5,2629.16,525.832
2024-11-12,3,1580.7099999999998,526.9033333333333
2024-11-13,1,1755.96,1755.96
2024-11-14,2,678.95,339.475
2024-11-16,2,2260.91,1130.455
2024-11-17,1,361.02,361.02
2024-11-18,2,1248.67,624.335
2024-11-22,2,1201.81,600.905
2024-11-24,1,292.22,292.22
2024-11-25,1,899.32,899.32
2024-11-26,1,119.2,119.2
2024-11-27,2,1186.8799999999999,593.4399999999999
2024-11-29,1,317.45,317.45
2024-12-01,3,3737.2300000000005,1245.7433333333336
2024-12-02,1,1554.39,1554.39
2024-12-03,1,876.74,876.74
2024-12-05,1,1214.14,1214.14
2024-12-06,2,561.11,280.555
2024-12-07,1,950.96,950.96
2024-12-08,3,1527.42,509.14000000000004
2024-12-09,2,789.9399999999999,394.96999999999997
2024-12-11,1,829.21,829.21
2024-12-12,2,1606.1100000000001,803.0550000000001
2024-12-15,1,327.79,327.79
2024-12-16,3,1244.3200000000002,414.77333333333337
2024-12-17,2,925.1700000000001,462.58500000000004
2024-12-18,1,486.92,486.92
2024-12-19,1,720.1,720.1
2024-12-20,1,209.76,209.76
2024-12-21,2,1451.79,725.895
2024-12-22,1,968.78,968.78
2024-12-23,1,477.3,477.3
2024-12-25,1,254.1,254.1
2024-12-26,2,1621.3,810.65
2024-12-27,2,1397.42,698.71
2024-12-28,2,1920.91,960.455
2024-12-29,2,1439.45,719.725
2025-01-01,3,1742.15,580.7166666666667
2025-01-02,1,319.97,319.97
2025-01-03,3,1490.81,496.93666666666667
2025-01-04,2,1380.1399999999999,690.0699999999999
2025-01-05,1,101.93,101.93
2025-01-07,1,269.51,269.51
2025-01-11,1,367.25,367.25
2025-01-12,2,710.03,355.015
2025-01-13,2,612.9,306.45
2025-01-14,2,657.3399999999999,328.66999999999996
2025-01-15,2,1314.25,657.125
2025-01-16,3,2139.01,713.0033333333334
2025-01-17,2,868.1500000000001,434.07500000000005
2025-01-19,2,1153.1100000000001,576.5550000000001
2025-01-24,1,729.58,729.58
2025-01-25,2,2263.59,1131.795
2025-01-26,2,3511.92,1755.96
2025-01-28,2,1447.8200000000002,723.9100000000001
2025-01-29,3,1612.8999999999999,537.6333333333333
2025-01-30,1,1127.4,1127.4
2025-02-01,1,182.81,182.81
2025-02-02,1,605.47,605.47
2025-02-04,1,952.45,952.45
2025-02-06,2,1647.21,823.605
2025-02-08,3,1483.71,494.57
2025-02-09,1,268.73,268.73
2025-02-10,1,425.42,425.42
2025-02-11,3,1699.64,566.5466666666667
2025-02-13,2,2686.21,1343.105
2025-02-16,1,1372.87,1372.87
2025-02-18,2,1046.28,523.14
2025-02-19,1,478.77,478.77
2025-02-20,2,889.39,444.695
2025-02-21,3,1615.1999999999998,538.4
2025-02-22,4,1672.94,418.235
2025-02-23,2,372.15,186.075
2025-02-24,2,685.87,342.935
2025-02-25,2,2484.31,1242.155
2025-02-26,3,1847.93,615.9766666666667
2025-02-27,3,1070.49,356.83
2025-02-28,1,810.01,810.01
2025-03-01,3,1783.43,594.4766666666667
2025-03-02,1,1755.96,1755.96
2025-03-03,4,2763.8,690.95
2025-03-04,1,631.94,631.94
2025-03-06,3,3175.49,1058.4966666666667
2025-03-07,2,941.6300000000001,470.81500000000005
2025-03-08,3,2155.74,718.5799999999999
2025-03-09,1,921.54,921.54
2025-03-10,4,1287.2,321.8
2025-03-11,2,1978.2599999999998,989.1299999999999
2025-03-12,2,1993.44,996.72
2025-03-13,2,1898.04,949.02
2025-03-14,2,590.3199999999999,295.15999999999997
2025-03-15,2,1460.65,730.325
2025-03-17,1,412.35,412.35
2025-03-18,2,1588.69,794.345
2025-03-19,3,1522.06,507.3533333333333
2025-03-20,2,501.65,250.825
2025-03-21,2,842.73,421.365
2025-03-26,2,582.4200000000001,291.21000000000004
2025-03-27,3,2081.62,693.8733333333333
2025-03-28,1,638.69,638.69
2025-03-29,1,521.81,521.81
2025-03-30,3,2718.19,906.0633333333334
2025-04-01,2,1162.76,581.38
2025-04-02,2,1584.26,792.13
2025-04-04,1,208.82,208.82
2025-04-06,2,769.99,384.995
2025-04-07,2,1236.07,618.035
2025-04-08,1,1163.28,1163.28
2025-04-09,1,242.48,242.48
2025-04-10,2,1781.6,890.8
2025-04-11,2,747.4100000000001,373.70500000000004
2025-04-12,1,144.42,144.42
2025-04-14,1,599.01,599.01
2025-04-16,1,701.3,701.3
2025-04-17,2,1895.05,947.525
2025-04-19,3,1486.16,495.3866666666667
2025-04-20,1,1752.55,1752.55
2025-04-22,1,346.93,346.93
2025-04-24,2,813.2,406.6
2025-04-25,1,484.39,484.39
2025-04-26,2,729.3299999999999,364.66499999999996
2025-04-27,2,906.24,453.12
2025-04-28,5,2079.45,415.89
2025-04-30,2,324.6,162.3
2025-05-04,2,805.64,402.82
2025-05-05,1,614.18,614.18
2025-05-07,1,175.39,175.39
2025-05-09,1,210.39,210.39
2025-05-10,2,1661.16,830.58
2025-05-11,2,1473.65,736.825
2025-05-12,3,2753.52,917.84
2025-05-14,1,188.41,188.41
2025-05-15,1,270.23,270.23
2025-05-16,4,2316.55,579.1375
2025-05-18,2,976.9200000000001,488.46000000000004
2025-05-19,3,2695.7,898.5666666666666
2025-05-20,1,659.89,659.89
2025-05-21,2,1433.12,716.56
2025-05-23,3,2895.44,965.1466666666666
2025-05-24,1,648.92,648.92
2025-05-25,2,1764.71,882.355
2025-05-26,2,972.7,486.35
2025-05-27,2,825.61,412.805
2025-05-28,1,1443.83,1443.83
2025-05-29,1,219.4,219.4
2025-05-30,1,274.91,274.91
2025-05-31,2,697.71,348.855
2025-06-01,1,637.76,637.76
2025-06-03,2,506.29,253.145
2025-06-04,1,171.9,171.9
2025-06-05,1,648.0,648.0
2025-06-06,1,613.74,613.74
2025-06-07,4,2532.34,633.085
2025-06-08,2,890.85,445.425
2025-06-09,1,293.96,293.96
2025-06-10,1,533.79,533.79
2025-06-11,1,698.52,698.52
2025-06-12,1,462.95,462.95
2025-06-13,1,688.46,688.46
2025-06-14,1,506.14,506.14
2025-06-15,1,547.62,547.62
2025-06-16,1,509.29,509.29
2025-06-17,2,422.67999999999995,211.33999999999997
2025-06-18,1,406.65,406.65
2025-06-19,2,1218.8899999999999,609.4449999999999
2025-06-21,2,605.52,302.76
2025-06-22,2,1892.4099999999999,946.2049999999999
2025-06-24,1,942.69,942.69
2025-06-26,2,1862.3899999999999,931.1949999999999
2025-06-27,2,423.61,211.805
2025-06-28,1,223.29,223.29
2025-06-29,1,1755.96,1755.96
2025-06-30,2,1448.39,724.195
2025-07-01,3,3293.29,1097.7633333333333
2025-07-02,2,942.49,471.245
2025-07-03,1,321.48,321.48
2025-07-04,1,366.05,366.05
2025-07-05,1,444.91,444.91
2025-07-06,1,471.1,471.1
