restaurant_id,order_count,revenue
18,29,20319.16
36,25,19367.04
19,30,19043.59
17,26,18948.690000000002
40,24,18525.47
44,30,17668.5
6,24,17256.28
30,24,16458.88
1,17,16447.66
23,20,15845.29
43,29,15503.74
35,24,15385.05
3,18,14815.14
46,22,14764.71
16,21,14732.11
24,27,14686.81
22,20,14494.09
42,20,14416.91
20,23,14185.82
50,21,14134.18
45,24,13984.57
32,21,13628.91
31,21,13586.27
4,19,13182.68
47,23,13125.74
13,22,13094.48
25,24,12295.11
2,16,12263.52
41,19,11677.14
28,15,11372.449999999999
12,17,10998.74
11,16,10903.92
49,13,10473.75
15,18,10334.36
21,15,10274.73
33,12,10260.72
5,14,10016.48
8,22,9978.23
37,18,9962.83
26,16,9648.41
48,13,9288.7
14,18,9280.76
29,14,8882.67
9,19,8394.11
39,12,8266.289999999999
34,13,8133.83
7,17,7720.92
10,21,7710.2300000000005
38,17,7309.76
27,17,7260.66
