order_id,food_id,quantity,unit_price,discount,total_price
1,30,2,241.85,0.0,483.7
1,30,1,241.85,0.0,241.85
2,184,3,186.27,0.0,558.81
2,116,1,101.23,0.0,101.23
3,124,1,140.15,0.0,140.15
3,58,1,324.99,0.0,324.99
4,46,1,183.07,0.0,183.07
5,186,1,147.99,0.0,147.99
6,108,1,284.65,0.0,284.65
6,108,2,284.65,0.0,569.3
6,18,3,103.15,0.0,309.45
6,38,1,166.39,0.0,166.39
6,18,1,103.15,0.0,103.15
6,108,2,284.65,33.09,536.21
7,93,1,107.19,0.0,107.19
8,127,1,233.63,0.0,233.63
8,192,1,141.42,0.0,141.42
9,51,1,142.96,0.0,142.96
9,164,2,245.23,0.0,490.46
10,164,1,245.23,0.0,245.23
11,16,2,160.73,0.0,321.46
11,37,1,272.65,0.0,272.65
12,13,2,204.98,0.0,409.96
13,149,1,133.71,0.0,133.71
14,75,2,131.03,0.0,262.06
15,13,3,204.98,0.0,614.94
15,13,1,204.98,0.0,204.98
16,7,1,174.65,0.0,174.65
17,46,2,183.07,0.0,366.14
18,14,1,155.43,0.0,155.43
19,13,1,204.98,0.0,204.98
20,154,2,168.71,0.0,337.42
21,34,2,160.34,27.06,293.62
22,197,2,178.95,0.0,357.9
23,189,1,166.79,0.0,166.79
24,115,1,128.67,0.0,128.67
24,34,1,160.34,22.44,137.9
24,28,1,88.98,0.0,88.98
25,35,1,143.72,0.0,143.72
25,82,2,134.91,0.0,269.82
26,22,1,88.13,0.0,88.13
27,4,1,228.49,0.0,228.49
27,63,1,194.65,0.0,194.65
28,112,2,120.15,9.31,230.99
29,43,3,163.98,34.87,457.07
29,137,1,164.64,0.0,164.64
29,126,1,167.87,0.0,167.87
30,42,1,256.94,63.81,193.13
31,107,3,215.38,0.0,646.14
32,196,1,129.19,0.0,129.19
32,200,2,117.27,0.0,234.54
32,157,3,245.36,0.0,736.08
33,83,1,277.87,0.0,277.87
34,63,1,194.65,0.0,194.65
35,99,2,218.4,0.0,436.8
36,45,2,209.44,0.0,418.88
36,102,1,201.74,0.0,201.74
36,27,2,206.98,0.0,413.96
37,196,2,129.19,0.0,258.38
37,196,1,129.19,0.0,129.19
38,154,2,168.71,0.0,337.42
38,145,3,226.72,0.0,680.16
38,154,1,168.71,0.0,168.71
38,145,1,226.72,0.0,226.72
39,140,1,216.66,0.0,216.66
39,140,3,216.66,0.0,649.98
40,146,3,260.04,0.0,780.12
40,151,1,209.63,0.0,209.63
41,64,1,213.31,0.0,213.31
42,164,1,245.23,0.0,245.23
43,60,1,176.68,0.0,176.68
44,99,1,218.4,0.0,218.4
45,25,1,228.02,0.0,228.02
45,114,1,176.83,0.0,176.83
46,166,1,229.72,0.0,229.72
47,77,3,193.44,0.0,580.32
48,176,1,151.88,0.0,151.88
49,42,2,256.94,0.0,513.88
49,42,1,256.94,0.0,256.94
50,98,1,275.77,0.0,275.77
50,159,4,201.51,0.0,806.04
50,196,2,129.19,0.0,258.38
50,200,1,117.27,0.0,117.27
50,196,1,129.19,0.0,129.19
51,33,4,165.75,0.0,663.0
51,42,5,256.94,0.0,1284.7
51,33,2,165.75,0.0,331.5
52,55,4,167.79,0.0,671.16
52,55,3,167.79,0.0,503.37
53,90,1,209.34,19.4,189.94
53,185,1,224.62,37.9,186.72
53,185,3,224.62,0.0,673.86
54,90,2,209.34,0.0,418.68
54,129,1,279.43,0.0,279.43
54,156,1,237.59,42.77,194.82
55,113,2,177.36,0.0,354.72
55,31,1,242.14,0.0,242.14
55,113,1,177.36,0.0,177.36
56,37,1,272.65,62.09,210.56
56,16,1,160.73,19.64,141.09
56,16,1,160.73,0.0,160.73
56,37,1,272.65,0.0,272.65
57,170,1,224.35,0.0,224.35
58,80,3,102.55,0.0,307.65
58,91,1,218.42,0.0,218.42
58,80,1,102.55,0.0,102.55
59,146,1,260.04,0.0,260.04
60,144,3,198.4,0.0,595.2
61,198,2,50.34,0.0,100.68
61,176,1,151.88,0.0,151.88
61,198,1,50.34,0.0,50.34
62,118,1,189.62,0.0,189.62
62,85,1,62.56,0.0,62.56
63,52,1,177.08,0.0,177.08
63,95,5,281.68,0.0,1408.4
63,52,1,177.08,32.13,144.95
63,95,1,281.68,0.0,281.68
64,158,2,99.72,0.0,199.44
65,57,2,128.81,0.0,257.62
66,13,1,204.98,0.0,204.98
67,45,1,209.44,0.0,209.44
68,144,1,198.4,0.0,198.4
68,193,1,134.75,31.64,103.11
69,3,1,252.17,31.93,220.24
70,20,3,145.41,0.0,436.23
70,143,2,193.43,0.0,386.86
70,162,3,152.51,0.0,457.53
70,121,2,203.98,50.65,357.31
71,20,1,145.41,0.0,145.41
72,44,1,125.75,0.0,125.75
73,94,1,177.98,0.0,177.98
74,157,1,245.36,0.0,245.36
75,145,3,226.72,0.0,680.16
75,154,3,168.71,0.0,506.13
76,92,1,167.15,0.0,167.15
77,139,5,162.53,0.0,812.65
78,5,4,251.64,0.0,1006.56
78,146,2,260.04,0.0,520.08
79,93,1,107.19,0.0,107.19
79,180,3,258.93,0.0,776.79
80,151,2,209.63,0.0,419.26
81,5,2,251.64,0.0,503.28
82,195,2,363.06,0.0,726.12
82,192,1,141.42,0.0,141.42
82,106,1,139.38,0.0,139.38
82,88,1,102.38,0.0,102.38
83,92,1,167.15,0.0,167.15
83,92,2,167.15,0.0,334.3
84,159,1,201.51,0.0,201.51
84,200,1,117.27,0.0,117.27
85,162,1,152.51,21.1,131.41
85,121,3,203.98,0.0,611.94
85,125,1,197.06,0.0,197.06
86,155,2,245.67,29.99,461.35
86,84,2,30.0,0.0,60.0
87,14,1,155.43,9.31,146.12
87,83,1,277.87,0.0,277.87
88,90,1,209.34,0.0,209.34
89,165,1,275.34,0.0,275.34
90,131,2,177.27,0.0,354.54
91,41,1,125.55,0.0,125.55
91,53,1,150.03,0.0,150.03
92,76,2,242.13,0.0,484.26
92,148,2,150.7,0.0,301.4
93,7,1,174.65,0.0,174.65
94,116,1,101.23,0.0,101.23
95,52,1,177.08,0.0,177.08
96,31,1,242.14,0.0,242.14
96,113,2,177.36,0.0,354.72
96,113,3,177.36,0.0,532.08
97,199,2,127.55,9.33,245.77
98,51,1,142.96,0.0,142.96
99,13,1,204.98,14.78,190.2
100,16,2,160.73,0.0,321.46
100,170,1,224.35,0.0,224.35
100,170,2,224.35,0.0,448.7
101,12,1,287.39,0.0,287.39
102,13,1,204.98,0.0,204.98
103,44,1,125.75,0.0,125.75
103,155,2,245.67,0.0,491.34
104,77,1,193.44,18.29,175.15
105,98,1,275.77,0.0,275.77
105,159,1,201.51,0.0,201.51
106,132,1,168.51,0.0,168.51
106,132,2,168.51,20.39,316.63
107,107,1,215.38,0.0,215.38
108,82,1,134.91,0.0,134.91
108,35,2,143.72,0.0,287.44
109,60,1,176.68,0.0,176.68
109,179,1,319.57,0.0,319.57
110,99,2,218.4,0.0,436.8
111,17,3,57.66,0.0,172.98
112,55,2,167.79,0.0,335.58
112,55,1,167.79,0.0,167.79
112,46,1,183.07,0.0,183.07
112,55,1,167.79,21.19,146.6
113,154,1,168.71,0.0,168.71
113,145,1,226.72,0.0,226.72
114,26,3,247.94,0.0,743.82
115,164,1,245.23,0.0,245.23
115,51,1,142.96,0.0,142.96
116,154,2,168.71,0.0,337.42
116,145,1,226.72,0.0,226.72
117,119,1,277.31,0.0,277.31
117,50,1,210.46,0.0,210.46
118,15,1,247.23,51.63,195.6
118,15,1,247.23,0.0,247.23
118,15,2,247.23,0.0,494.46
119,113,1,177.36,0.0,177.36
119,31,1,242.14,0.0,242.14
119,113,1,177.36,36.01,141.35
120,25,3,228.02,0.0,684.06
121,87,1,203.96,0.0,203.96
122,21,1,202.35,0.0,202.35
122,21,2,202.35,0.0,404.7
123,74,1,141.68,0.0,141.68
123,60,1,176.68,0.0,176.68
124,13,3,204.98,0.0,614.94
125,51,1,142.96,0.0,142.96
125,22,1,88.13,0.0,88.13
126,119,1,277.31,0.0,277.31
126,153,1,211.31,26.18,185.13
127,164,2,245.23,0.0,490.46
127,164,1,245.23,24.6,220.63
127,51,2,142.96,0.0,285.92
127,51,1,142.96,0.0,142.96
128,135,1,155.76,0.0,155.76
128,56,3,142.43,0.0,427.29
128,93,1,107.19,0.0,107.19
128,36,1,167.81,0.0,167.81
129,12,1,287.39,55.73,231.66
130,166,2,229.72,0.0,459.44
130,166,1,229.72,0.0,229.72
131,38,1,166.39,0.0,166.39
131,30,3,241.85,0.0,725.55
132,139,1,162.53,0.0,162.53
132,15,2,247.23,0.0,494.46
133,185,1,224.62,0.0,224.62
134,82,1,134.91,0.0,134.91
135,17,1,57.66,0.0,57.66
136,55,1,167.79,0.0,167.79
137,141,1,227.19,0.0,227.19
137,116,1,101.23,0.0,101.23
137,138,1,48.35,0.0,48.35
137,184,1,186.27,12.67,173.6
137,69,2,175.15,0.0,350.3
138,13,1,204.98,0.0,204.98
138,13,3,204.98,0.0,614.94
139,30,2,241.85,0.0,483.7
140,189,4,166.79,0.0,667.16
140,189,1,166.79,0.0,166.79
140,2,6,166.94,0.0,1001.64
140,2,1,166.94,0.0,166.94
141,131,1,177.27,0.0,177.27
141,105,1,205.68,0.0,205.68
141,131,3,177.27,0.0,531.81
142,13,2,204.98,0.0,409.96
143,21,3,202.35,0.0,607.05
143,72,1,231.98,0.0,231.98
143,21,1,202.35,0.0,202.35
144,50,1,210.46,0.0,210.46
144,119,2,277.31,0.0,554.62
145,184,1,186.27,0.0,186.27
145,79,1,226.0,0.0,226.0
145,184,2,186.27,0.0,372.54
145,184,3,186.27,0.0,558.81
146,134,1,119.24,0.0,119.24
146,134,2,119.24,0.0,238.48
147,170,1,224.35,0.0,224.35
148,182,1,96.4,0.0,96.4
148,135,2,155.76,0.0,311.52
148,180,1,258.93,0.0,258.93
148,180,3,258.93,0.0,776.79
149,57,1,128.81,0.0,128.81
149,106,1,139.38,0.0,139.38
150,134,3,119.24,0.0,357.72
150,134,3,119.24,27.95,329.77
151,26,2,247.94,0.0,495.88
152,95,2,281.68,16.88,546.48
153,77,1,193.44,0.0,193.44
154,113,3,177.36,0.0,532.08
155,42,3,256.94,0.0,770.82
155,42,2,256.94,0.0,513.88
156,164,1,245.23,0.0,245.23
157,127,4,233.63,0.0,934.52
158,129,1,279.43,0.0,279.43
159,59,1,177.46,0.0,177.46
159,171,1,223.73,40.67,183.06
159,160,1,155.91,37.04,118.87
160,21,2,202.35,0.0,404.7
160,21,2,202.35,42.53,362.17
161,31,2,242.14,0.0,484.28
161,31,1,242.14,0.0,242.14
162,67,1,170.88,0.0,170.88
162,47,1,196.31,0.0,196.31
162,100,1,186.42,0.0,186.42
163,115,1,128.67,0.0,128.67
164,40,2,160.55,0.0,321.1
164,61,2,159.71,0.0,319.42
164,104,2,195.48,0.0,390.96
164,104,1,195.48,0.0,195.48
165,154,1,168.71,0.0,168.71
166,33,2,165.75,0.0,331.5
166,33,1,165.75,0.0,165.75
166,33,3,165.75,0.0,497.25
167,124,2,140.15,21.07,259.23
167,59,1,177.46,0.0,177.46
167,59,2,177.46,0.0,354.92
