order_id,customer_id,restaurant_id,order_timestamp,order_status,subtotal,discount_amount,delivery_fee,tax_amount,total_amount,payment_method,delivery_address,estimated_delivery_time,actual_delivery_time,cancellation_reason,delivery_address_norm
1,74,30,2024-11-22T13:34:18,delivered,725.55,0.0,34.43,36.28,796.26,cash,Heatherfort,2024-11-22T14:24:18,2024-11-22T14:16:18,,heatherfort
2,22,4,2026-04-15T19:48:23,delivered,660.04,0.0,20.35,33.0,713.39,card,West Matthew,2026-04-15T20:39:23,2026-04-15T20:25:23,,west matthew
3,21,23,2026-03-16T19:31:32,pending,790.13,0.0,33.13,39.51,862.77,upi,Stephaniemouth,2026-03-16T20:16:32,2026-03-16T20:27:32,,stephaniemouth
4,76,19,2025-08-17T20:48:25,delivered,183.07,0.0,47.15,9.15,239.37,cash,South Stevenhaven,2025-08-17T21:34:25,2025-08-17T21:32:25,,south stevenhaven
5,3,26,2025-02-01T19:23:48,delivered,147.99,0.0,27.42,7.4,182.81,upi,Veronicaside,2025-02-01T20:06:48,2025-02-01T20:14:48,,veronicaside
6,31,30,2025-10-24T14:37:21,delivered,1969.15,0.0,42.45,98.46,2110.06,upi,Harrytown,2025-10-24T15:27:21,2025-10-24T15:34:21,,harrytown
7,2,2,2025-03-08T13:40:46,delivered,107.19,0.0,35.78,5.36,148.33,card,Barbaraland,2025-03-08T14:19:46,2025-03-08T14:19:46,,barbaraland
8,72,44,2026-06-24T11:45:08,delivered,375.05,0.0,45.14,18.75,438.94,upi,Sergiostad,2026-06-24T12:23:08,2026-06-24T12:06:08,,sergiostad
9,74,43,2025-11-14T13:35:19,delivered,633.42,0.0,49.85,31.67,714.94,upi,Heatherfort,2025-11-14T14:09:19,2025-11-14T13:54:19,,heatherfort
10,89,43,2026-03-30T18:18:02,delivered,490.46,0.0,27.56,24.52,542.54,upi,Nelsonville,2026-03-30T18:52:02,2026-03-30T19:01:02,,nelsonville
11,51,46,2024-11-11T21:14:03,delivered,594.11,0.0,50.14,29.71,673.96,cash,Simmonsville,2024-11-11T21:54:03,2024-11-11T22:00:03,,simmonsville
12,35,20,2026-05-27T14:41:36,delivered,409.96,0.0,41.14,20.5,471.6,card,Barkerfurt,2026-05-27T15:11:36,2026-05-27T15:04:36,,barkerfurt
13,21,41,2025-10-25T12:36:38,delivered,133.71,0.0,26.8,6.69,167.2,upi,Stephaniemouth,2025-10-25T13:08:38,2025-10-25T13:06:38,,stephaniemouth
14,25,14,2025-09-15T19:50:18,delivered,262.06,0.0,55.05,13.1,330.21,card,Port Anthonybury,2025-09-15T20:25:18,2025-09-15T20:32:18,,port anthonybury
15,76,20,2025-11-26T12:21:19,delivered,819.92,0.0,47.11,41.0,908.03,upi,South Stevenhaven,2025-11-26T12:51:19,2025-11-26T13:06:19,,south stevenhaven
16,28,19,2026-01-12T14:14:08,delivered,174.65,0.0,30.91,8.73,214.29,cash,West Nicolebury,2026-01-12T15:00:08,2026-01-12T15:06:08,,west nicolebury
17,63,19,2026-06-08T13:58:36,delivered,366.14,0.0,52.45,18.31,436.9,cash,Lisahaven,2026-06-08T14:44:36,2026-06-08T14:52:36,,lisahaven
18,11,29,2025-05-16T14:36:03,delivered,310.86,0.0,35.71,15.54,362.11,card,Shawhaven,2025-05-16T15:06:03,2025-05-16T15:14:03,,shawhaven
19,59,20,2026-02-23T12:49:08,cancelled,409.96,0.0,44.48,20.5,474.94,upi,Port Michael,2026-02-23T13:19:08,2026-02-23T13:22:08,restaurant_unavailable,port michael
20,53,35,2026-04-18T13:46:14,delivered,337.42,0.0,54.69,16.87,408.98,upi,Lisaside,2026-04-18T14:25:14,2026-04-18T14:17:14,,lisaside
21,29,9,2026-08-10T20:15:13,delivered,293.62,0.0,31.6,14.68,339.9,cash,Freemanbury,2026-08-10T20:48:13,2026-08-10T20:44:13,,freemanbury
22,85,18,2025-01-12T21:38:49,pending,357.9,0.0,40.69,17.89,416.48,upi,Salaston,2025-01-12T22:05:49,2025-01-12T22:16:49,,salaston
23,40,18,2024-11-06T20:42:24,delivered,333.58,0.0,53.57,16.68,403.83,card,New Patrick,2024-11-06T21:09:24,2024-11-06T21:22:24,,new patrick
